puzzle,solution,clues,difficulty,difficulty_range,result,runtime
000070030000003020056200089000064001007000000090080005900005000000037910280000000,429578136718693524356241789532764891867159243194382675971425368645837912283916457,24,1.0,0,429578136718693524356241789532764891867159243194382675971425368645837912283916457,0.396244
408076500000000040005000801004700002000320000590080000000000000613004050000600108,438176529921538746765942831384765912176329485592481673859217364613894257247653198,25,0.0,0,438176529921538746765942831384765912176329485592481673859217364613894257247653198,7.10118
090000008020610000000005670000000060007800030043020000070200019080004005200030000,796342158528617943431985672152493867967851234843726591375268419689174325214539786,24,0.0,0,796342158528617943431985672152493867967851234843726591375268419689174325214539786,0.487066
090400530042000090800000006008000007500073000004561800000007900000000675005600000,197426538642385791853719246368942157521873469974561823236157984419238675785694312,26,0.0,0,197426538642385791853719246368942157521873469974561823236157984419238675785694312,8.70662
900001003840200009500008010000670000400010306190040002380000400000000000000030200,967451823841263579523798614238679145475812396196345782389527461652184937714936258,25,0.0,0,967451823841263579523798614238679145475812396196345782389527461652184937714936258,0.082565
900370800002940006700000901007060010000400000305800040600030000000080300000700050,956371824132948576784652931847569213269413785315827649678135492591284367423796158,25,0.0,0,956371824132948576784652931847569213269413785315827649678135492591284367423796158,0.392239
070200040030080060500000009000530000010760000600900204900600100000000000003000750,876295341439187562521346879298534617314762985657918234945673128762851493183429756,23,0.0,0,876295341439187562521346879298534617314762985657918234945673128762851493183429756,6.76094
000900050500064170610000000054000230030040000000200008003007900700608000000309020,348971652529864173617532489954786231832145796176293548283417965795628314461359827,26,0.0,0,348971652529864173617532489954786231832145796176293548283417965795628314461359827,0.187582
200000008000053000010080050050700090070002004080500100000001087008000060100940000,235197648846253719719486253352714896971862534684539172593621487428375961167948325,24,0.0,0,235197648846253719719486253352714896971862534684539172593621487428375961167948325,4.68122
000062008730000605002000000000107000506000010409000000601020003000050001008070540,195762438734819625862435197283147956576293814419586372651924783947358261328671549,25,0.0,0,195762438734819625862435197283147956576293814419586372651924783947358261328671549,0.203778
000700050020000006060509800900000003800000507000080000000000900000120000501008300,398762451125843796764519832917456283842931567653287149286374915439125678571698324,21,0.0,0,398762451125843796764519832917456283842931567653287149286374915439125678571698324,17.49
000050701030082009004000000900007050000000013020003600760010000200900000000000074,682459731137682549594731862913267458476598213825143697768314925241975386359826174,23,0.0,0,682459731137682549594731862913267458476598213825143697768314925241975386359826174,0.488378
536090000002000060900000800600002000000074000005010004700028905000000042001000080,536891427482735169917246853643982571129574638875613294764328915358169742291457386,24,0.0,0,536891427482735169917246853643982571129574638875613294764328915358169742291457386,3.59697
200000000000030201065082003002400007001000900000870000000040069050760000000900130,213594678984637251765182493592416387871253946436879512128345769359761824647928135,25,0.0,0,213594678984637251765182493592416387871253946436879512128345769359761824647928135,7.29415
800010400217500800005080000000000000000090006009106070000600093028350010000000040,893712465217564839645983721164837952372495186589126374751648293428359617936271548,25,0.0,0,893712465217564839645983721164837952372495186589126374751648293428359617936271548,3.32568
040000020902530008300080005004000590000000003008020010000650002100900400000000900,845716329912534768367289145234168597651497283798325614479651832183972456526843971,24,0.0,0,845716329912534768367289145234168597651497283798325614479651832183972456526843971,1.34823
000070408000205000230180000000010709040500030600030000000000003000700095060450200,156379428798245316234186957325814769849567132617932584572691843481723695963458271,25,0.0,0,156379428798245316234186957325814769849567132617932584572691843481723695963458271,0.961078
000001865080306001000000000005000010430690000002030500050000040007009002000270600,723941865589326471614758239975482316431695728862137594256813947347569182198274653,25,1.0,0,723941865589326471614758239975482316431695728862137594256813947347569182198274653,0.662203
