difficulty,core1,core2,core4,core8,core16,core32
0.0,1.0,0.7886605236924965,1.9371226615575003,2.8211848812088287,4.217062395434555,4.847977360015086
1.0,1.0,0.7683841332788633,1.8712521960262845,2.0475866793408706,4.488591650951084,4.041835697139323
1.1,1.0,0.7977776924935039,1.8433939823895167,2.4280188257927096,3.7290181657020147,5.221578651851413
1.2,1.0,0.7916175135499514,2.0410867218928277,2.866058160704621,4.1430034639486175,6.585216673638513
1.3,1.0,0.789178944288799,1.5321694713640979,3.466990160147901,7.126633290895691,9.360751376769684
1.4,1.0,0.8000915540006813,1.7960340366986196,2.9303568254145302,3.971171332883008,7.184304978721222
1.5,1.0,0.7821830489304072,2.2169791035439923,3.172863337529725,4.4545517031451,7.177419865202671
1.6,1.0,0.7976277378760741,1.8396675413417434,2.108633747064112,3.7601054186530583,5.377175504717095
1.7,1.0,0.7952201274005244,1.7277987433075548,2.69014298532519,3.713436682182312,4.609977183671445
1.8,1.0,0.8046062619499833,2.035060589872635,2.7874531680668113,4.516996674660557,6.61341565290033
1.9,1.0,0.7963764599193037,1.7165310742659494,2.2289460638508825,4.711054065381392,6.326302904097254
2.0,1.0,0.7807475595189702,1.3789306265808103,2.906121973929236,5.230398625861455,5.657633570489871
2.1,1.0,0.7828579367034858,1.5452932106750006,2.1969142499862087,2.76619786143309,4.463449079782107
2.2,1.0,0.78922331180814,2.1751678137896953,3.480940658880218,5.307713808827875,8.139517225331586
2.3,1.0,0.7966360122535096,1.381459460184949,1.8100992905805844,3.836918190697016,5.204818058617691
2.4,1.0,0.7931282569806333,1.6823674984532895,2.490791864068678,3.1564936446826213,4.413876439450642
2.5,1.0,0.7975121288569765,1.2869402920807507,2.3897769895036785,4.230639756636144,6.879224627128008
2.6,1.0,0.7861765025755614,1.679107826316484,2.5604975044276284,3.913827260757749,5.754645293191728
2.7,1.0,0.7982178495096856,1.892485553350455,3.0395802327352843,4.654914664130221,8.41666937080183
2.8,1.0,0.8011296913005654,1.6118270424739323,2.2719147028289335,6.756486769770476,11.579824025418551
2.9,1.0,0.800887489749307,1.823856248239566,2.969680406606731,6.005806492598945,9.501628206159042
3.0,1.0,0.7844828174473194,1.7903460036519796,2.328116931115139,4.801154753701267,7.087623304562269
3.1,1.0,0.8024568558966511,1.832646428324459,2.4687550215767695,3.131501831501832,5.669280053052101
3.2,1.0,0.786887982127361,2.024046169861931,3.0788031150217448,5.475806493059303,8.559678650331392
3.3,1.0,0.7967394006843234,1.5402767668722048,2.5501832251414456,4.762932712383838,6.315873447897212
3.4,1.0,0.7948768515766044,1.6756815416689594,2.408886564684892,4.986119322884925,6.7003911502261335
3.5,1.0,0.7932036958965711,2.2429713888336975,3.712580676103429,5.669477693144722,7.851992464860165
3.6,1.0,0.8003412794166584,1.5549220038335891,2.3958362589523943,4.759963381141287,6.114142364377548
3.7,1.0,0.792982028594281,1.5993761421639676,2.5523687889057616,4.339437149500752,6.490512479541735
3.8,1.0,0.7974093216552413,2.5102707739359746,4.523858304409307,5.837847785628749,11.976761499601169
3.9,1.0,0.792649831791618,1.4898730058220322,2.6945038690026486,4.933025639532345,6.6856426851888395
4.0,1.0,0.7923179269291476,4.376729069162766,5.81413850670658,10.036709464562547,13.121657788748863
4.1,1.0,0.7953725851284412,1.4315330930133163,2.101214056573061,5.766231680385464,3.773324137024995
4.2,1.0,0.7890702904546708,1.6110150916588695,2.678693613557954,4.909314712268913,3.391211777203324
4.3,1.0,0.796652531276274,1.7038501882963903,2.892915238119072,5.165198352708126,3.494357341501753
4.4,1.0,0.7905494610810105,2.3653402152578993,3.672740113536481,7.037050655998117,5.614314045319596
4.5,1.0,0.7971909324859974,2.183976837323809,5.049600243722052,6.220767067410375,5.610268378063011
4.6,1.0,0.7956871035940802,1.5468612313074583,2.3288796922878907,5.398040205617771,3.6122884609478176
4.7,1.0,0.784589918668131,3.3333948072945,4.5459651829091925,7.175495242758273,6.9346113512545715
4.8,1.0,0.7915306786214121,2.056646569889956,3.0830975101458815,5.374287790141869,3.124288635959452
4.9,1.0,0.7904834878553368,1.5506513905224277,2.736934260094445,4.254224183255843,3.837449784258295
5.0,1.0,0.8005503109325902,2.109245572571574,3.52156194878657,5.9714823505144,5.828193222855561
5.1,1.0,0.7989045064665515,1.6508416533730808,2.8230517257723053,4.487280438634429,3.9695356293921193
5.2,1.0,0.7922576084659019,1.8431753177026735,3.17968030751002,4.600402414486922,3.9885701924854944
5.3,1.0,0.7981125608865285,2.1872944730445405,3.208393523660017,5.2725800697093606,4.578556646978682
5.4,1.0,0.7958636738711872,1.9765718394678893,3.227278063957499,4.711931775570769,5.370409490258809
5.5,1.0,0.7935841614186079,2.062816805947119,3.3464602235730356,5.436699479305233,4.749012316988147
5.6,1.0,0.8042676412435523,1.9833814167521042,2.5173439048562933,5.212745958140118,5.534643501692463
5.7,1.0,0.7995625460260933,1.5091071280391668,2.7055423730074306,4.306527427509205,3.29972148890038
5.8,1.0,0.8100766137228417,1.889826940548206,3.0277405017004986,6.15055097213408,5.7727869607007
5.9,1.0,0.8034214878276228,2.078041124157245,3.808142767217574,6.057253944704704,8.344740789963854
6.0,1.0,0.8029833430015746,3.0989861515335657,4.579530685067467,7.215160653784579,6.8032999824469025
6.1,1.0,0.7983486168884959,1.8524405521148826,2.6381674477906194,3.8344168169817023,4.148603147124959
6.2,1.0,0.7941341171740709,1.9955774278722558,2.711529471090963,5.8443696362662,4.868635994944637
6.3,1.0,0.7951703429309087,1.5917343579718446,2.2487163275725695,3.8010051914022145,4.1034635900654095
6.4,1.0,0.8017892988486995,1.7400301964013876,2.4788984016869726,4.545327129458356,5.381864845046506
6.5,1.0,0.7981905882306731,1.927935257241934,2.961208482547825,4.853678635193799,3.8738335573284535
6.6,1.0,0.8084769083847682,1.7688134248112104,2.343647362750062,4.915954144428713,7.311046541058793
6.7,1.0,0.8001298392416669,1.782786789629279,2.4970566678959725,6.6049515342347345,6.2052876416746905
6.8,1.0,0.7932860595146543,2.285477741157176,2.8699096030653766,4.0944443659683865,3.622319420144964
6.9,1.0,0.7983436883429902,1.4931385416738248,1.804671018753841,3.7465687288778535,5.223346715065265
7.0,1.0,0.8105621911908327,1.7317911327426898,2.745497701755708,3.2928901300508815,6.854834157996728
7.1,1.0,0.8044253814020144,3.0543763507255326,4.114420877521314,6.172353285240787,4.925935146573722
7.2,1.0,0.8021862295296096,3.0053523366772694,6.149508730208399,6.190965221774194,8.249769120980606
7.3,1.0,0.787438947835806,1.1068308010157963,1.325788822437616,1.4146026157633438,1.6723843589952037
7.4,1.0,0.7923609149957639,1.5802908695914548,3.049018085849569,8.423868754021015,4.864759427828348
7.5,1.0,0.7907608695652174,1.7667662992714366,1.9764890282131662,1.9713392391870768,1.8886669995007488
7.6,1.0,0.7841087643274178,1.669236998697229,2.910966474272381,6.492467817036429,4.168835736897644
7.7,1.0,0.8177044432588978,2.4440420055126535,5.432455696202531,5.723712990130701,4.033799533799533
7.8,1.0,0.7803538743136058,2.3906542056074764,8.251612903225807,27.212765957446805,1.421111111111111
7.9,1.0,0.8089716897599734,4.228998561331082,47.31210636808959,48.395848246241954,26.712366653496645
